call,final_score,class,total_qsos,power_multiplier,gota_call,sec,number_of_participants,club_name
AF2C,2328,4F,372,2,NA,NFL,23,Flagler Em Com Assn
AF4I,2984,3A,505,2,NA,AL,81,South Baldwin ARC
AF4RK,2362,3A,535,2,NA,SFL,3,North Dade Contesters
AF5T,424,1D,106,2,NA,STX,1,NA
AF6GA,1530,1B1B,128,5,NA,SF,1,NA
AF6II,686,2A,42,2,NA,ORG,5,NA
AF6VN,314,1D,41,2,NA,MI,1,NA
AF7QZ,722,1E,118,2,NA,WY,2,NA
AF9J,500,1E,35,5,NA,WI,1,NA
AF0S,1374,3F,308,2,NA,CO,15,NA
AG1T,558,1E,204,2,NA,UT,4,NA
AG4P,914,1B1,190,2,NA,TN,1,NA
AG6AN,820,1D,375,2,NA,LAX,1,NA
AG6HQ,230,1D,45,2,NA,LAX,1,NA
AG6JA,96,1D,23,2,NA,SCV,1,NA
AG6SC,605,2B2B,31,5,NA,SJV,2,NA
AH6KO,554,1E,101,2,NA,PAC,1,NA
AH6V,888,1E,172,2,NA,PAC,1,NA
AI3G,242,1D,60,2,NA,DE,1,NA
AI4BJ,3750,1B1B,343,5,NA,KY,1,NA
AI5M,3828,1A,843,2,NA,STX,28,Sam Houston ARK
AI6CN,245,1E,19,5,NA,SCV,1,NA
AI6DE,118,1D,34,2,NA,SV,1,NA
AI9IN,166,1D,4,2,NA,IN,1,NA
AJ4A,7568,6A,2335,2,KE4YVD,KY,20,Central Kentucky ARS
AJ4EY,320,1E,32,2,NA,VA,1,NA
AJ4GY,522,1B2,136,2,NA,AR,2,NA
AJ4IR,1474,3F,464,2,W4NLX,SFL,24,NA
AJ4ON,80,1D,40,2,NA,TN,1,NA
AJ4ZN,392,1B1,71,2,NA,AL,1,NA
AJ5Q,716,3D,155,2,NA,OK,19,NA
AK2U,800,1D,200,2,NA,WV,1,NA
AK3G,250,1D,100,2,NA,WPA,1,NA
AK4BH,1905,1B1B,165,5,NA,SC,1,NA
AK4OH,364,1B1,57,2,NA,VA,1,NA
AK7AT,1432,2E,275,2,NA,ID,3,NA
AK7MG,344,1E,72,2,NA,NV,1,NA
AK9D,1990,2A,549,2,NA,MO,5,Dog Hollow CG
AL9A,718,1E,114,2,NA,AK,3,NA
HI3CC,540,1E,95,2,NA,DX,1,NA
IT9EWR,71,1D,21,1,NA,DX,1,NA
JA1YNE,70,1D,5,2,NA,DX,1,NA
JA3JM,66,1D,4,2,NA,DX,1,NA
JF2IWL,130,1D,40,1,NA,DX,1,NA
JK2VOC,76,1D,7,2,NA,DX,1,NA
JO7KMB,106,1D,28,1,NA,DX,1,NA
JS1IFK,70,1D,5,2,NA,DX,1,NA
K1A,3305,1AB,281,5,NA,ME,8,Southern ME Area AR Team
K1AA,5232,12F,1018,2,W1SE,NFL,28,Orlando ARC
K1AOM,240,2AC,59,2,NA,ME,3,Radio Adventurers of ME
K1AUS,110,1D,15,2,NA,MT,1,NA
K1AY,2390,1D,585,2,NA,WCF,1,NA
K1B,9666,4A,2764,2,K1BKE,NH,44,Contoocook Valley RC
K1BCI,556,2F,28,2,NA,CT,19,CQ RC & Wireless Operators of Winsted
K1CRC,2138,4A,545,2,NA,CT,18,Insurance City Repeater Club
K1DDN,4378,3A,1101,2,KB0TUC,CO,22,Royal Gorge ARC
K1EEE,3736,1E,1168,2,NA,NH,4,NA
K1EME,2466,2A,303,2,KC1SR,NH,36,Littleton Area Radio Klub
K1FS,1682,3A,466,2,NA,ME,37,Aroostook ARA
K1IG,4212,3A,932,2,KB1OIQ,EMA,50,PART of Westford
K1IMI,1170,1C,255,2,NA,ME,1,NA
K1JRO,156,1E,3,2,NA,EMA,1,NA
K1LB,206,1D,78,2,NA,NV,1,NA
K1LHO,16,1D,16,1,NA,CT,1,NA
K1LT,6026,1A,1444,2,NA,OH,3,Friends and Alumni Using LT
K1MRK,272,1E,61,2,NA,NTX,1,NA
K1MTD,40,1D,40,1,NA,CT,1,NA
K1NIT,72,1D,1,2,NA,ME,1,NA
K1NO,130,1D,40,2,NA,CT,1,NA
K1P,2682,5A,405,2,W1NPP,ME,32,Androscoggin ARC/Oxford CERT Com Group
K1PDY,1100,1B1B,75,5,NA,NH,1,NA
K1PQ,2340,4A,392,2,NA,ME,5,Piscataquis ARC
K1R,7582,3A,2460,2,NA,NH,25,Port City ARC
K1RFD,244,1E,62,2,NA,CT,1,NA
K1RK,5526,2A,1501,2,W1NOB,EMA,47,Falmouth ARA
K1SCN,478,1D,82,2,NA,NV,1,NA
K1SV,2434,2A,618,2,N1RZ,VT,18,Southern VT ARC
K1SWL,2090,1E,200,5,NA,NH,1,NA
K1WRK,1048,4A,48,2,NA,NH,10,West Rockingham Cty NH ARES
K2AA,11762,6A,3248,2,W2EA,SNJ,49,South Jersey RA
K2AE,6380,6A,1611,2,W2IR,ENY,50,Broughton Memorial FD Group
K2BR,2984,4F,523,2,NA,SNJ,48,Southern Counties ARA
K2CK,1580,3E,565,2,NA,ENY,20,NA
K2CT,8450,3A,2432,2,KC2ZDC,ENY,47,Albany ARS
K2CTC,56,1D,3,2,NA,UT,1,NA
K2DLL,3842,4A,909,2,NA,ENY,28,Saratoga Cty ARS
K2DSL,164,1D,57,2,NA,NNJ,1,NA
K2FEO,104,1D,27,2,NA,WNY,1,NA
K2GE,1040,2F,105,2,NA,NNJ,18,Raritan Bay RA
K2GG,5506,3AC,1477,2,NA,NNJ,15,Splitrock ARA
K2GQ,204,1F,70,2,NA,NNJ,5,Roseland ARC
K2HT,460,1E,41,5,NA,MO,1,NA
K2HVE,190,1C,45,2,NA,NNJ,1,NA
K2IQ,994,1A,214,2,NA,WNY,9,Utica ARC
K2IWR,1482,3A,472,2,NA,WNY,21,Skyline ARC
K2J,2544,3A,427,2,K2ALS,NNY,20,Tryon ARC
K2JF,4,1D,1,2,NA,NLI,1,NA
K2KIB,388,1D,97,2,NA,NNJ,1,NA
K2MK,1208,1D,603,1,NA,SNJ,1,NA
K2NJ,5357,3F,2609,1,NA,NNJ,4,West Jersey DX Group
K2NV,1166,1D,279,2,NA,WNY,1,NA
K2OGT/3,602,1E,113,2,NA,EPA,1,NA
K2OQ,1516,2F,1137,1,NA,WNY,6,Carousel RC
K2OU,130,1D,40,2,NA,WNY,1,NA
K2QB,402,1D,88,2,NA,WNY,1,NA
K2QPN,445,1AB,20,5,NA,SNJ,3,BCRC QRPers
K2QR,210,1E,11,5,NA,WNY,1,NA
K2QS,7322,3A,1814,2,WK2T,ENY,45,QSY Society
K2RET,710,1D,205,2,NA,SNJ,1,NA
K2SRV,252,2A,26,2,AC2OT,WNY,7,Community ARC
K2TD,3806,3F,733,2,NA,SNJ,19,Burlington Cty RC
K2TW,2598,1E,1224,1,NA,NNJ,2,NA
K2USA,3812,4E,873,2,NA,NNJ,27,NA
K2VER,576,2E,152,2,NA,NNJ,4,NA
K2VN,7006,4A,1752,2,NA,NLI,42,Nassau ARC
K2WNY,2320,1B2B,195,5,NA,WNY,2,NA
K2YG,4400,1AB,414,5,NA,NNJ,5,Why Gee! ARG
K2YGM,3200,1E,310,5,NA,NLI,1,NA
K2YNT,1806,2A,462,2,NA,NNJ,5,Metuchen RC
K2ZC,1018,1D,242,2,NA,NNJ,1,NA
K2ZT,820,1A,262,2,NA,WNY,4,Non Club Group
K2ZV,1824,2F,249,2,NA,NNJ,18,Carteret OEM ARC
K3AE,2026,4A,314,2,NA,EPA,32,Southern PA Com Group
K3ARS,2206,5A,322,2,NA,MDC,13,Kent ARS
K3CAL,2222,4A,472,2,W3PQS,MDC,30,Calvert ARS
K3CCR,3046,3E,674,2,NA,MDC,3,NA
K3CSF,802,1E,179,2,NA,WPA,6,NA
K3CSG,3770,3A,793,2,W3W,EPA,20,Scranton-Pocono ARK
K3DCX,26,1D,13,2,NA,MDC,1,NA
K3DRQ,138,1D,31,2,NA,EPA,1,NA
K3EL,9160,1B2B,891,5,NA,NNJ,2,NA
K3ERA,934,4AC,277,2,NA,MDC,10,Prince Georges Cty ARES
K3EW,4754,3A,1152,2,W3XV,MDC,10,Upper Montgomery HF'ers
K3F,2334,1A,449,2,NA,DE,22,First State ARC
K3FI,356,1D,39,2,NA,EPA,1,NA
K3FLT,1922,3A,243,2,K3WJH,EPA,7,NA
K3HH,280,1A,40,2,NA,MDC,3,Hanburger's Helpers ARC
K3HKI,1462,3A,268,2,K3NHK,MDC,17,Saint Mary's Cty ARA
K3IEC,1146,3AC,274,2,NA,EPA,15,Cumberland ARC
K3IR,5030,4A,1027,2,KN3A,EPA,9,SPARC
K3MAF/M,60,1C,2,2,NA,EMA,1,NA
K3MJW,5466,4E,1418,2,NA,WPA,9,NA
K3NQT,1522,4F,279,2,NA,WPA,20,Bedford Cty ARES/RACES
K3ONW,2270,1E,530,2,NA,EPA,1,NA
K3PZN,5334,5A,1483,2,NA,MDC,12,Carroll Cty ARC
K3QAC,2244,8A,319,2,K3LMR,MDC,16,Queen Anne's ARC
K3RWN,208,1D,208,1,NA,WPA,1,NA
K3SMT,1616,5A,416,2,NA,WPA,20,Somerset Cty ARC
K3TI,346,1D,162,2,NA,EPA,8,NA
K3TKV,420,1D,80,2,NA,EPA,1,NA
K3TW,1630,1B1B,118,5,NA,NFL,1,NA
K3UA,248,1E,28,2,NA,WPA,1,NA
K3VPZ,720,2E,225,1,NA,MDC,3,NA
K3VX,3730,1AB,348,5,NA,WPA,3,NA
K3VYY,500,1D,125,2,NA,WPA,1,NA
K3WGR,404,1D,101,2,NA,EPA,1,NA
K3WJV,1610,1D,399,2,NA,EPA,1,NA
K3WQ,222,1D,80,2,NA,MDC,2,NA
K3WW,7420,1B1B,740,5,NA,EPA,1,NA
K3XZ,238,1C,69,2,NA,MDC,1,NA
K3YTL,3770,2A,942,2,NA,EPA,10,Murgas ARC
K3ZZ,5130,2B2B,669,5,NA,MDC,2,NA
K4ACW,1932,1A,363,2,NA,GA,28,Jasper RC
K4ALE,856,2A,145,2,NA,VA,4,Hog Camp Gap Pirates
K4AQ,750,1E,60,5,NA,GA,1,NA
K4BCG,2249,3E,1086,1,NA,VA,12,NA
K4BCH,2742,2A,815,2,K4OTH,NC,11,Pamlico ARC
K4BFT,17038,4A,5267,2,N7KDT,AL,55,Huntsville ARC
K4BKV,2292,2A,334,2,W8LWB,NFL,12,Haernando Cty ARS
K4BRW,1070,1A,210,2,NA,VA,8,NA
K4BSK,2434,1E,556,2,NA,VA,2,NA
K4BT,4794,4A,1285,2,NA,NFL,57,Orange Park ARC
K4BV,1414,4A,192,2,NA,NFL,26,Volusia ARES / Daytona Beach ARA
K4BW,1586,2A,277,2,NA,VA,13,Eastern Shore ARC
K4CEB,1106,1E,528,2,NA,NC,1,NA
K4CPO,2974,4A,621,2,KE4ETY,TN,45,Nashville ARC
K4CQ,7048,2A,1786,2,W3CQ,VA,34,Lynchburg ARC
K4CXS,724,2A,37,2,NA,GA,9,Spalding Co ARC
K4EB,1830,1E,890,2,NA,NFL,6,NA
K4EG,5168,2F,1358,2,W4VGZ,NC,30,Alamance ARC
K4EX,1090,2A,160,2,NA,WCF,12,East Pasco ARS
K4EZS,255,1D,205,1,NA,TN,1,NA
K4F,2528,1A,751,2,NA,VA,5,Smith Point Buccaneers
K4FBC,1278,2A,315,2,NA,AL,8,First Baptist Church Huntsville RC
K4FC,12528,7A,3852,2,N4FLA,NFL,31,Lake ARA
K4FCW,810,2D,260,2,NA,NC,2,NA
K4FTY,820,1E,114,5,NA,AL,1,NA
K4GAR,8920,3AB,830,5,WC4X,GA,11,NA
K4GNV,1326,3A,327,2,NA,NFL,10,Gainesville ARS
K4GSO,2694,5A,585,2,NA,NFL,8,Silver Springs RC
K4GU,2126,1B2,507,2,NA,AL,2,NA
K4GVA,1318,4A,109,2,NA,VA,32,King George AR Ops
K4HJ,1350,3A,268,2,NA,KY,27,Stubblefield Rept Club
K4HRS,6164,2A,1589,2,NA,SFL,15,Harris-Intersil ARC
K4HY,3840,3A,820,2,NA,KY,15,Owensboro ARC
K4II,4224,2AC,1082,2,NA,SC,30,Spartanburg ARC
K4IJK,80,1D,15,2,NA,RI,1,NA
K4INC,3060,1B1B,271,5,NA,NC,1,NA
K4J,1130,2B2C,270,2,NA,NC,2,NA
K4JJ,14536,3A,4195,2,NF4GA,GA,216,North Fulton ARL
K4JMC,1536,3A,273,2,NA,AL,15,Gadsden ARC
K4KJQ,1572,5A,401,2,KE6IVK,KY,25,Bluegrass ARS
K4KNS,1302,2AC,197,2,K4BR,GA,40,Columbia Cty ARC
K4KSR,2070,1E,172,5,NA,VA,1,NA
K4LKL,5370,4A,1362,2,K1DU,WCF,40,Lakeland ARC
K4LRG,13806,4A,4139,2,N3FQ,VA,26,Loudoun ARG
K4MN,3934,2A,771,2,NA,NC,25,Cape Fear ARS
K4MSU,2132,3A,317,2,WB4GZ,KY,45,Murray State Univ  ARC
K4MVA,3304,1A,910,2,NA,VA,16,Patrick Henry ARA
K4NAB,7714,5A,1776,2,KK4AMJ,SC,30,North Augusta Bevedere RC
K4NCS,870,1F,211,2,NA,VA,2,National Com System ARC
K4NGA,858,1AC,274,2,NA,GA,10,North GA VHF Soc
K4NRC,8146,4A,2254,2,NA,GA,60,Bill Gremillion Memorial RC
K4NVA,2192,3AC,502,2,NQ4K,VA,20,Sterling Park ARC
K4OGB,988,2A,37,2,NA,NC,35,Stanley Cty ARC
K4OO,6716,2A,1756,2,NA,NC,19,NA
K4PAR,844,2A,201,2,NA,GA,13,Piedmont ARES
K4PJ,3286,2F,732,2,NA,TN,33,Oak Ridge ARC
K4PMH,4748,1A,1044,2,NA,VA,20,Page Valley ARC
K4PP,1155,1B1B,116,5,NA,AL,1,NA
K4RAN,1858,3A,509,2,NA,AL,11,Randolph Cty Emergency RC
K4RC,4592,2A,1126,2,AI4WU,VA,44,Williamsburg Area ARC
K4RDU,1236,1D,292,2,NA,VA,1,NA
K4RET,1210,1AB,107,5,NA,VA,3,NA
K4RFT,7074,3A,1448,2,N4MJ,TN,17,Reelfoot ARC
K4RHG/1,690,1B1B,24,5,NA,EMA,1,NA
K4RUM,743,1D,350,1,NA,SFL,1,NA
K4SOD,762,6AC,226,2,NA,GA,10,Tri-States ARC / Dade ARES RC
K4SV,4960,2A,1276,2,NA,SC,15,Greer ARC
K4TAK,250,2D,29,2,NA,TN,1,NA
K4TG,3780,2F,791,2,KY4LAW,KY,20,Anderson RC - KY
K4TLH,5444,3A,1468,2,N4IPH,NFL,30,NA
K4TS,7148,5A,1674,2,W4IM,VA,31,Rappahannock Valley ARC
K4UCF,940,1A,159,2,NA,NFL,10,ARC at UCF
K4V,2124,2A,552,2,NC4UC,NC,13,NA
K4VGL,816,1E,283,2,NA,AL,2,NA
K4VRC,4021,2A,2484,1,ND4G,NFL,41,The Villages ARC
K4W,3732,4F,730,2,NA,WCF,20,Highlands Cty ARC
K4WAK,2332,2A,447,2,NA,NFL,6,Sportsman's Paradise ARC
K4WC,1682,2A,476,2,NA,NC,24,Cabarrus ARS
K4WO,2488,4A,603,2,NA,NC,30,Albemarle ARS
K4WOC,1448,4A,125,2,NA,GA,24,Cherokee Captial ARS
K4WW,1330,1E,400,2,NA,KY,1,NA
K4XD,723,1B1C,364,1,NA,NC,1,NA
K4XY,8960,4A,2201,2,K4HTA,VA,65,Vienna Wireless Soc
K4YA,1540,1B1B,139,5,NA,TN,1,NA
K4YND,1390,1B1B,129,5,NA,VA,1,NA
K4YYL,172,1D,43,2,NA,SC,1,NA
K4ZK,3070,2A,735,2,WX4MC,SFL,20,NA
K4ZM,1240,1B2B,119,5,NA,AL,2,NA
K5ALU,10310,2A,2342,2,NA,AR,8,OF's FD Group
K5BAX,578,2F,62,2,NA,AR,18,Ozark ARC
K5BAY,786,2F,64,2,NA,STX,13,NA
K5BED,2228,3A,303,2,NA,NTX,21,Bedford ARC
K5BWD,1746,3A,221,2,AF5YO,NTX,9,Brownwood ARC
K5CAO,2130,1B1B,208,5,NA,SV,1,NA
K5CCL,924,1A,187,2,NA,NTX,27,Cedar Creek ARC
K5CM,7398,1A,1770,2,NA,OK,15,MARC
K5COW,4334,4A,1101,2,NA,NTX,48,Cowtown ARC
K5EEE,512,1D,181,2,NA,SFL,1,NA
K5ELF,1530,2B2,416,2,NA,STX,2,NA
K5EOK,7152,3A,2263,2,AF5DI,OK,55,Edmond ARS
K5ER,5494,2E,2116,2,NA,LA,3,NA
K5FD,10610,2A,2955,2,W5JSR,WTX,22,Big Bend ARC - TX
K5GDX,8876,5E,2748,2,NA,MS,12,NA
K5GJ,400,1D,143,2,NA,STX,3,NA
K5GOE,1040,1A,223,2,NA,AR,21,ARC of the Univ  of AR
K5HLA,1242,2F,189,2,K5JHC,STX,35,Highland Lakes ARC
K5HOU,786,3A,67,2,NA,STX,4,Clear Lake ARC
K5HV,902,3A,216,2,KG5HRD,STX,15,Hill Country ARC
K5JJR,410,1B1B,32,5,NA,NTX,1,NA
K5JVL,298,3D,96,2,NA,NTX,20,NA
K5LET,562,4F,185,2,NA,NTX,7,Longview East TX ARC
K5LLR,970,2AB,64,5,NA,STX,4,NA
K5LRK,1962,3A,469,2,NA,NTX,31,Lake Area ARK
K5MDX,1464,2A,357,2,NA,MS,15,Magnolia DX Assoc
K5NE,2296,1A,554,2,NA,AR,18,Benton ARS
K5NEA,178,2AC,64,2,NA,AR,10,North East AR RC
K5NRH,3666,4A,1065,2,NA,NTX,18,North Richland Hills ARC
K5NTT,2994,1B1,711,2,NA,AR,1,NA
K5OUR,2550,2A,449,2,KC5OUR,NM,63,VCARA
K5PAL,950,2A,150,2,NA,NTX,20,NA
K5PLD,770,2A,240,2,NA,STX,18,Pearland ARC
K5PN,1290,1A,245,2,NA,MS,20,Hattiesburg / Lamar
K5PRK,4852,5A,1057,2,K5F,NTX,65,Plano ARK
K5PX,6150,1A,1500,2,NA,OK,5,NA
K5PXP,3036,3A,713,2,KB5FLA,AR,20,AR River Valley ARF
K5QHD,3332,2A,666,2,KE5FWK,NTX,73,Garland ARC
K5R,1740,2F,734,2,NA,NTX,16,Rusk Cty ARC
K5RA,8650,1A,2471,2,NA,NTX,11,Murphy's Law FD Group
K5RDT,2316,5A,776,2,NA,STX,5,Red Daemon Contest Team
K5RWK,2624,1A,754,2,NA,NTX,65,Richardson Wireless Klub
K5SAR,5308,2D,1934,2,NA,LA,34,NA
K5SLD,3160,3A,789,2,N5ACK,NTX,44,Arlington ARC - TX
K5SST,1294,2A,196,2,NA,NTX,30,Hopkins Cty ARC / Rains ARA
K5TQ,9958,2E,2377,2,NA,NM,3,NA
K5TU,14164,2A,3946,2,K5WKC,STX,10,Tilson CC
K5TXT,226,1E,38,2,NA,STX,1,NA
K5TYR,6460,4A,2221,2,NA,NTX,45,Tyler ARC
K5UTA,526,1A,79,2,NA,WTX,5,Maverick Radio Mentors
K5UZ,15108,2A,5027,2,K5BRC,AR,20,NA
K5VFD,288,1F,119,2,NA,STX,2,Spring ARC
K5VHH,262,1C,81,2,NA,STX,1,NA
K5VX,358,1D,77,2,NA,NTX,1,NA
K5VZZ,1508,2A,293,2,NA,NTX,15,Mills County ARC
K5WI,1030,1B1B,68,5,NA,NTX,1,NA
K5WNH,5700,1B1B,535,5,NA,NTX,1,NA
K5WPH,3400,4E,877,2,NA,WTX,40,NA
K5WRN,90,1D,45,2,NA,STX,1,NA
K6AA,7068,2A,1564,2,NA,LAX,20,United RAC
K6AGF,2068,3A,362,2,AG6YS,LAX,36,Tri-Cty ARA
K6AJA,826,1E,329,2,NA,SDG,1,NA
K6BBQ/M,192,1C,21,2,NA,SF,1,NA
K6BEW,412,1B1,181,2,NA,SV,1,NA
K6CAW,1048,4A,215,2,NA,NV,4,Silver Tipped Rats
K6CCR,1322,2F,386,2,W1MJH,LAX,32,Culver City ARES
K6CDJ,768,1D,375,1,NA,SJV,1,NA
K6CME,1502,2F,302,2,NA,SJV,8,Fresno EmComm
K6CSL,606,1D,139,2,NA,SJV,1,NA
K6EAG,814,3A,157,2,NA,EB,10,Hayward RC
K6EI,21400,11AB,2287,5,W6ZZZ,SCV,22,West Valley ARA
K6FM,7,1D,7,1,NA,AZ,1,NA
K6FW,180,1D,15,2,NA,ORG,1,NA
K6H,936,2E,149,2,NA,ORG,3,NA
K6HS,180,1E,9,2,NA,EB,1,NA
K6III,70,1D,5,2,NA,SV,1,NA
K6IMG,210,1E,1,5,NA,SCV,1,NA
K6JW,1990,1E,143,5,NA,LAX,1,NA
K6KNS,102,1D,26,2,NA,SV,1,NA
K6KP,1180,2F,46,2,AG6GX,SCV,20,Cupertino ARES
K6KQV,1024,1D,230,2,NA,SCV,1,NA
K6KS,616,1B1,133,2,NA,SV,1,NA
K6LDF,1798,3A,252,2,KK6GSI,ORG,35,Lee DeForest ARC
K6LI,2816,5A,546,2,NA,EB,50,NA
K6LL,10454,2E,2650,2,NA,AZ,2,NA
K6LY,5650,3A,1742,2,K6NPS,SCV,18,Naval Postgraduate School ARC
K6MAN,718,3F,334,2,NA,SJV,34,Manteca ARC
K6MEP,2398,8A,351,2,NA,SB,13,NA
K6MI,7390,1AB,739,5,NA,SCV,6,Chew's Ridge Gang
K6MMM,5316,2A,1250,2,NA,SCV,52,San Lorenzo Valley ARC
K6NV,9180,2A,2385,2,K7MS,SV,6,NCCC Sierra Chapter
K6ORI,1264,3A,146,2,NA,EB,12,Lamorinda Area Radio Interest Group
K6OX,2192,2A,377,2,K6A,LAX,22,Antelope Valley ARC
K6PDQ,518,1B1,109,2,NA,SB,1,NA
K6PV,5780,2A,1436,2,KA6WNK,LAX,45,Palos Verdes ARC
K6PVA,496,1E,148,2,NA,SV,1,NA
K6QLF,1022,3A,53,2,NA,EB,22,NA
